Check Name,Description,Status,Required,Weight,Level of Effort,Remediation Link,Error
AWS Organization exists,An AWS Organization should be established for multi-account management.,complete,Yes,6,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_org_create.html,
Management account identified,Assessment should be run from the organization management account.,complete,Yes,6,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_accounts.html,
Minimum 4 accounts,"Organization should have at least 4 accounts (Management, Log Archive, Audit, Workload).",complete,Yes,6,2,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/recommended-accounts.html,
Log Archive account exists,A dedicated Log Archive account should exist for centralized logging.,complete,Yes,6,2,https://docs.aws.amazon.com/prescriptive-guidance/latest/security-reference-architecture/log-archive.html,
Audit account exists,A dedicated Audit or Security Tooling account should exist.,complete,Yes,6,2,https://docs.aws.amazon.com/prescriptive-guidance/latest/security-reference-architecture/audit.html,
Service Control Policies enabled,SCPs should be enabled to enforce guardrails across the organization.,complete,Yes,6,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,
Tag Policies enabled,Tag Policies should be enabled for consistent resource tagging and cost allocation.,complete,Yes,6,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_tag-policies.html,
Backup Policies enabled,Backup Policies should be enabled for centralized backup governance.,complete,No,5,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_backup.html,
Resource Control Policies enabled,RCPs should be enabled for data perimeter controls.,incomplete,No,4,1,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_rcps.html,
Security OU exists,A Security OU should exist at the root level for security accounts.,complete,Yes,6,2,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/security-ou.html,
Workloads OU exists,A Workloads OU should exist for business application accounts.,complete,No,5,2,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/workloads-ou.html,
Infrastructure OU exists,An Infrastructure OU should exist for shared infrastructure services.,incomplete,No,5,2,https://docs.aws.amazon.com/whitepapers/latest/organizing-your-aws-environment/infrastructure-ou.html,
CloudTrail organization service enabled,CloudTrail should be enabled as an organization service for centralized audit logging.,complete,Yes,6,1,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/creating-trail-organization.html,
AWS Config organization service enabled,AWS Config should be enabled as an organization service for resource tracking.,complete,No,4,1,https://docs.aws.amazon.com/config/latest/developerguide/config-rule-multi-account-deployment.html,
GuardDuty organization service enabled,GuardDuty should be enabled as an organization service for threat detection.,complete,No,4,1,https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_organizations.html,
Security Hub organization service enabled,Security Hub should be enabled as an organization service for centralized security findings.,incomplete,No,4,1,https://docs.aws.amazon.com/securityhub/latest/userguide/designate-orgs-admin-account.html,
IAM Access Analyzer organization service enabled,IAM Access Analyzer should be enabled for cross-account access analysis.,complete,No,4,1,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-getting-started.html,
RAM organization service enabled,Resource Access Manager should be enabled for cross-account resource sharing.,complete,No,4,1,https://docs.aws.amazon.com/ram/latest/userguide/getting-started-sharing.html,
IAM Identity Center organization service enabled,IAM Identity Center (SSO) should be enabled for centralized identity management.,complete,Yes,6,1,https://docs.aws.amazon.com/singlesignon/latest/userguide/get-started-enable-identity-center.html,
